,title
7155,Blacula
7156,Scream Blacula Scream
7183,King Solomon's Mines
7195,Dirty Dancing: Havana Nights
7220,Agent Cody Banks 2: Destination London
7244,Scooby-Doo 2: Monsters Unleashed
7246,Dogville
7248,Hellboy
7250,The Prince & Me
7251,Walking Tall
7256,The Whole Ten Yards
7262,Dawn of the Dead
7280,Road to Bali
7299,Kill Bill: Vol. 2
7312,Mean Girls
7315,Van Helsing
7348,100 Girls
7357,You Only Live Twice
7358,Octopussy
7361,Never Say Never Again
7409,Look Who's Talking Too
7412,The Delta Force
7417,Cat People
7421,The Four Musketeers
7453,Bang Rajan
7462,Sniper
7477,Babylon 5: Thirdspace
7493,Another Thin Man
7494,The Thin Man Goes Home
7495,Shadow of the Thin Man
7496,After the Thin Man
7497,Song of the Thin Man
7507,Tremors 2: Aftershocks
7508,Tremors 3: Back to Perfection
7519,The Vampire Lovers
7521,The Cheerleaders
7526,The Streetfighter
7527,Return of the Street Fighter
7534,Frankenstein Must Be Destroyed
7540,Gidget
7559,The Silence
7582,Infernal Affairs
7587,Robot Jox
7592,Death Race 2000
7625,Harper
7637,Delta Force 2: The Colombian Connection
7679,L'Avventura
7748,Shrek 2
7756,Harry Potter and the Prisoner of Azkaban
7759,The Chronicles of Riddick
7760,Garfield
7774,Police Academy: Mission to Moscow
7785,The Adventures of Sherlock Holmes
7819,Super Size Me
7827,The Born Losers
7828,The Human Condition I: No Greater Love
7840,Godzilla vs. Mechagodzilla
7841,The Hitcher
7874,"Now You See Him, Now You Don't"
7895,The Philadelphia Experiment
7900,Revenge of the Pink Panther
7909,Taxi 3
7916,Lassie Come Home
7940,Spider-Man 2
7942,Before Sunset
7945,Anchorman: The Legend of Ron Burgundy
7947,A Cinderella Story
7964,The Deluge
7969,The Bourne Supremacy
7987,The Magnificent Seven Ride!
8075,Terror by Night
8078,The Woman in Green
8082,Dressed to Kill
8091,Thunderbirds are GO
8114,Harold & Kumar Go to White Castle
8115, she's got 30 days!
8117,AVP: Alien vs. Predator
8121,Without a Paddle
8122,Exorcist: The Beginning
8130,The Sting II
8136,Benji: Off the Leash!
8161,Night of the Demons
8162,Witchboard
8168,Resident Evil: Apocalypse
8199,Basket Case 3
8200,Basket Case 2
8239,It's Alive
8254,The Grudge
8264,Saw
8268,The Incredibles
8274,Seed of Chucky
8276,Bridget Jones: The Edge of Reason
8279,National Treasure
8281,The SpongeBob SquarePants Movie
8291,Ocean's Twelve
8292,Blade: Trinity
8305,That's Entertainment!
8380,The Son of Kong
8396,Werewolf of London
8413,Topper
8441,Why We Fight: Prelude to War
8453,The Curse of the Cat People
8506,King Solomon's Mines
8564,The Human Condition II: Road to Eternity
8581,The Human Condition III: A Soldier's Prayer
8623,Dracula: Prince of Darkness
8662,Dracula Has Risen from the Grave
8683,Taste the Blood of Dracula
8710,They Call Me Trinity
8719,The Emigrants
8722,Dr. Phibes Rises Again
8723,Dracula A.D. 1972
8740,My Name Is Nobody
8751,Walking Tall
8757,Emmanuelle
8761,Gone in 60 Seconds
8772,Dolemite
8774,Emmanuelle II
8784,Sister Street Fighter
8785,Supervixens
8791,Futureworld
8800,Up!
8882,The Ewok Adventure
8890,"Silent Night, Deadly Night"
8901,Demons
8902,Ewoks: The Battle for Endor
8905,Police Story
8928,A Better Tomorrow
8931,Hell Comes to Frogtown
9012,Mannequin Two: On the Move
9053,Return to Lonesome Dove
9054,American Ninja 5
9060,Cyborg 2
9063,Fortress
9070,Philadelphia Experiment II
9072,The Snapper
9079,Naked Killer
9090,Major League II
9093,Pumpkinhead II: Blood Wings
9105,Street Fighter II: The Animated Movie
9120,Pusher
9127,Bikini Summer III: South Beach Heat
9149,The Lion King 2: Simba's Pride
9178,Addams Family Reunion
9203,Candyman: Day of the Dead
9206,The Batman Superman Movie: World's Finest
9207,The End of Evangelion
9214,Freeway II: Confessions of a Trickbaby
9222,Taxi 2
9232,Cruel Intentions 2
9239,Guest House Paradiso
9241,If These Walls Could Talk 2
9248,2046
9267,Batman Beyond: Return of the Joker
9276,Mimic 2
9278,Paradise Lost 2: Revelations
9329,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack"
9339,American Psycho 2: All American Girl
9346,Cube²: Hypercube
9375,Fubar
9383,Sympathy for Mr. Vengeance
9386,The Foreigner
9393,The Lion King 1½
9420,Tremors 4: The Legend Begins
9422,Bring It On Again
9423,Crimson Rivers II: Angels of the Apocalypse
9433,Naked Weapon
9443,Ghost in the Shell 2: Innocence
9455,Ginger Snaps 2: Unleashed
9457,Dark Woods
9470,Oldboy
9473,Ginger Snaps Back: The Beginning
9478,One Missed Call
9484,Starship Troopers 2: Hero of the Federation
9489,Ong-Bak: The Thai Warrior
9490,Infernal Affairs II
9501,Open Water
9505,Infernal Affairs III
9515,The Ring Two
9522,The Yes Men
9529,Azumi
9544,Cruel Intentions 3
9548,What the #$*! Do We (K)now!?
9575,Hellraiser: Inferno
9587,Meet the Fockers
9599,White Noise
9654,Appleseed
9667,Boys Town
9688,Dr. Who and the Daleks
9693,Are We There Yet?
9694,Alone in the Dark
9697,Boogeyman
9752,Constantine
9753,Son of the Mask
9766,Night Watch
9770,Topper Returns
9779,"No Retreat, No Surrender"
9787,The Three Musketeers
9799,Germany Year Zero
9800,Tombs of the Blind Dead
9810,Be Cool
9822,Godzilla vs. Mechagodzilla II
9828,"Oh, God! You Devil"
9854,Cube Zero
9863,Vares: Private Eye
9870,Miss Congeniality 2: Armed and Fabulous
9931,Sin City
9964,Arabian Nights
10030,The Amityville Horror
10053,xXx: State of the Union
10112,Star Wars: Episode III - Revenge of the Sith
10119,The Invisible Woman
10132,Madagascar
10138,Dominion: Prequel to the Exorcist
10143,The Sisterhood of the Traveling Pants
10158,Godzilla vs. Biollante
10165,Batman Begins
10167,Godzilla: Final Wars
10175,Herbie Fully Loaded
10177,Land of the Dead
10224,Billion Dollar Brain
10235,Fantastic Four
10266,The Devil's Rejects
10300,The Dukes of Hazzard
10304,Deuce Bigalow: European Gigolo
10331,Doomed to Die
10358,Asterix & Obelix Take on Caesar
10375,Transporter 2
10393,Revenge of the Ninja
10400,New Police Story
10413,Waiting...
10429,Green Street Hooligans
10437,Final Fantasy VII: Advent Children
10441,Into the Blue
10454,The Curse of the Were-Rabbit
10457,Whispering Corridors 3: Wishing Stairs
10471,Goal!: The Dream Begins
10522,The Legend of Zorro
10526,Saw II
10537,American Pie Presents: Band Camp
10541,Tarzan the Ape Man
10542,Tarzan and His Mate
10549,Manderlay
10555,Love on the Run
10563,Jarhead
10572,The Brides of Dracula
10595,Wolf Creek
10596,The Descent
10600,Harry Potter and the Goblet of Fire
10625,The Evil of Frankenstein
10643,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
10651,Havoc
10685,The Ambushers
10691,Cheaper by the Dozen 2
10710,The Dentist
10734,Sympathy for Lady Vengeance
10746,District B13
10747,BloodRayne
10748,Hostel
10753,Hoodwinked!
10755,Underworld: Evolution
10757,Casper Meets Wendy
10767,Project A
10777,Hellraiser: Hellseeker
10779,Gamera vs. Gyaos
10807,Big Momma's House 2
10808,Nanny McPhee
10822,Final Destination 3
10839,The Pink Panther
10840,Troll
10842,Curious George
10848,When a Stranger Calls
10861,Pulse
10872,Ice Age: The Meltdown
10893,Leprechaun 2
10894,Leprechaun 3
10895,Leprechaun 4: In Space
10896,Leprechaun in the Hood
10903,The Hills Have Eyes
10907,Son of the Pink Panther
10936,Urban Legends: Bloody Mary
10940,Basic Instinct 2
10973,Scary Movie 4
10988,Silent Hill
10997,The Protector
10998,Mission: Impossible III
11018,The Da Vinci Code
11019,X-Men: The Last Stand
11025,Cars
11054,Pirates of the Caribbean: Dead Man's Chest
11056,Clerks II
11064,See No Evil
11074,Hollow Man II
11080,High School Musical
11092,Jack Frost 2: Revenge of the Mutant Killer Snowman
11100,The Fast and the Furious: Tokyo Drift
11101,Garfield: A Tail of Two Kitties
11169,Night at the Museum
11198,Crank
11219,Step Up
11221,Bon Cop Bad Cop
11341,Vixen!
11349,Jackass Number Two
11360,Open Season
11366,The Texas Chainsaw Massacre: The Beginning
11378,The Grudge 2
11380,The Marine
11407,Flags of Our Fathers
11415,Azumi 2: Death or Love
11417,Saw III
11424,The Butterfly Effect 2
11431,The Santa Clause 3: The Escape Clause
11456,Casino Royale
11457,Happy Feet
11487,Van Wilder 2: The Rise of Taj
11490,Dracula's Daughter
11492,She
11493,Election 2
11498,Rocky Balboa
11521,Loose Change: 2nd Edition
11523,The Decameron
11544,Letters from Iwo Jima
11547,Happily N'Ever After
11550,Stomp the Yard
11552,Arthur and the Invisibles
11555,American Pie Presents: The Naked Mile
11607,Smokin' Aces
11610,The Messengers
11612,Hannibal Rising
11617,Cocaine Cowboys
11627,"Wake Up, Ron Burgundy: The Lost Movie"
11643,Trailer Park Boys: The Movie
11644,Ghost Rider
11661,Kidulthood
11662,Like Mike 2: Streetball
11693,2001 Maniacs
11695,Teen Wolf Too
11699,Pusher III: I'm the Angel of Death
11702,White Noise 2: The Light
11714,300
11745,The Hills Have Eyes 2
11776,Are We Done Yet?
11820,Vacancy
11826,Mr. Bean's Holiday
11831,The Condemned
11832,Spider-Man 3
11844,Maniac Cop
11859,Day Watch
11860,This Is England
11867,28 Weeks Later
11877,Shrek the Third
11879,Pirates of the Caribbean: At World's End
11886,Fay Grim
11897,Ocean's Thirteen
11903,Godzilla vs. Mothra
11904,Godzilla vs. Destoroyah
11905,Godzilla vs. King Ghidorah
11910,Hostel: Part II
11914,Starcrash
11915,Surf's Up
11916,Fantastic 4: Rise of the Silver Surfer
11921,Death Proof
11958,Still Smokin
11973,Live Free or Die Hard
11976,Evan Almighty
11977,Transformers
11979,Harry Potter and the Order of the Phoenix
11986,Arn: The Knight Templar
12017,The Bourne Ultimatum
12053,Rush Hour 3
12065,Daddy Day Camp
12071,Halloween
12073,2 Days in Paris
12093,Planet Terror
12097,Silent Bob Speaks
12135,Resident Evil: Extinction
12148,Elizabeth: The Golden Age
12150,Sleuth
12152,30 Days of Night
12195,Why Did I Get Married?
12196,Saw IV
12211,Elite Squad
12218,Decoys
12237,The Man from Earth
12266,Hitman
12273,Alvin and the Chipmunks
12274,Futurama: Bender's Big Score
12282,Wrong Turn 2: Dead End
12313,Sex and Fury
12323,The Hamiltons
12333,National Treasure: Book of Secrets
12339,Aliens vs Predator: Requiem
12351,Battlestar Galactica: Razor
12375,[REC]
12379,In the Name of the King: A Dungeon Siege Tale
12389,Hatchet
12408,One Missed Call
12411,Rambo
12414,The Eye
12420,Hellboy II: The Golden Army
12437,Rise of the Footsoldier
12472,Step Up 2: The Streets
12506,Diary of the Dead
12514,Terkel in Trouble
12526,Return of the Living Dead 3
12536,The Dark Knight
12543,Black Dawn
12545,Never Back Down
12591,Nim's Island
12598,Street Kings
12600,Harold & Kumar Escape from Guantanamo Bay
12617,Outpost
12627,Tarzan Escapes
12628,Tarzan Finds a Son!
12629,Tarzan's Secret Treasure
12630,Tarzan's New York Adventure
12641,Prom Night
12643,Iron Man
12650,Taken
12654,Stargate: The Ark of Truth
12661,American Pie Presents: Beta House
12669,The Chronicles of Narnia: Prince Caspian
12680,Indiana Jones and the Kingdom of the Crystal Skull
12696,Sex and the City
12703,Kung Fu Panda
12737,Flesh Gordon
12760,Wanted
12773,St. Trinian's
12777,Futurama: The Beast with a Billion Backs
12794,Bambi II
12797,Kit Kittredge: An American Girl
12823,Mamma Mia!
12844,Journey to the Center of the Earth
12860,Death Note
12866,Space Chimps
12869,Stargate: Continuum
12873,War Games: The Dead Code
12883,The X Files: I Want to Believe
12888,The Little Mermaid II: Return to the Sea
12890,Hogfather
12904,The Mummy: Tomb of the Dragon Emperor
12922,Red Cliff
12928,The Sisterhood of the Traveling Pants 2
12948,Death Race
12953,Mirrors
12975,The Mother of Tears
12993,Son of Lassie
13007,The Crow IV: Wicked Prayer
13050,Alone in the Dark 2
13067,Adios Sabata
13070,The Drowning Pool
13083,The Flight Before Christmas
13084,Quarantine
13088,Lost Boys: The Tribe
13104,Futurama: Bender's Game
13108,Madagascar: Escape 2 Africa
13116,Quantum of Solace
13145,Camp Rock
13147,Saw V
13149,Critters 4
13155,Beverly Hills Chihuahua
13173,The Dirty Dozen: Next Mission
13174,The Dirty Dozen: The Deadly Mission
13185,Revenge of the Zombies
13188,Twilight
13190,Transporter 3
13202,The Guyver
13213,A Matter of Loaf and Death
13220,Ninja III: The Domination
13228,Che: Part One
13229,Che: Part Two
13230,Starship Troopers 3: Marauder
13245,The Wrecking Crew
13263,A Chinese Ghost Story II
13287,War of the Worlds 2: The Next Wave
13316,Marley & Me
13349,Open Season 2
13352,Ip Man
13364,The Gamers: Dorkness Rising
13366,My Bloody Valentine
13383,Underworld: Rise of the Lycans
13393,Revenge of the Nerds IV: Nerds In Love
13400,Paul Blart: Mall Cop
13433,The Grudge 3
13467,Futurama: Into the Wild Green Yonder
13476,Afro Samurai: Resurrection
13482,Trancers
13505,Still Waiting...
13515,Street Fighter: The Legend of Chun-Li
13531,Friday the 13th
13533,Screamers: The Hunting
13534,The Pink Panther 2
13573,The Haunting in Connecticut
13580,Ong Bak 2
13581,The Girl with the Dragon Tattoo
13630,The Butterfly Effect 3: Revelations
13654,Kiler
13655,Fast & Furious
13690,Bab'Aziz
13693,Crank: High Voltage
13712,X-Men Origins: Wolverine
13720,Star Trek
13722,Black Magic
13731,Red Cliff Part II
13736,Wild Things: Diamonds in the Rough
13770,Terminator Salvation
13771,Night at the Museum: Battle of the Smithsonian
13819,Without a Paddle: Nature's Calling
13823,The Hangover
13842,U Pana Boga za piecem
13850,Dead Snow
13865,Zulu Dawn
13887,The Land That Time Forgot
13910,Transformers: Revenge of the Fallen
13924,Ice Age: Dawn of the Dinosaurs
13951,Through the Olive Trees
13962,The Librarian: The Curse of the Judas Chalice
13969,Harry Potter and the Half-Blood Prince
13974,The Visitors II: The Corridors of Time
13977,Open Water 2: Adrift
13981,Slap Shot 2: Breaking the Ice
14005,The Vault of Horror
14037,The Collector
14054,G.I. Joe: The Rise of Cobra
14058,12 Rounds
14059,"Silent Night, Deadly Night II"
14076,Kill Buljo
14090,Love Hina Christmas Special: Silent Eve
14110,Feast II: Sloppy Seconds
14151,Assault on Devil's Island
14154,Released
14170,Vacancy 2: The First Cut
14180,Troll 2
14191,If These Walls Could Talk
14193,Halloween II
14204,Carry On Screaming
14205,Green Street Hooligans 2
14250,The Final Destination
14252,Cloudy with a Chance of Meatballs
14274,Hellraiser: Deader
14275,Hellraiser: Hellworld
14277,Paranormal Activity
14356,Love Hina Spring Special - I Wish Your Dream
14409,The Tiger of Eschnapur
14444,Saw VI
14453,The Boondock Saints II: All Saints Day
14469,MVP: Most Valuable Primate
14473,The Indian Tomb
14484,Battlestar Galactica: The Plan
14510,The Twilight Saga: New Moon
14636,Avatar
14642,Sherlock Holmes
14647,Alvin and the Chipmunks: The Squeakquel
14717,The Girl Who Kicked the Hornet's Nest
14748,Puppet Master: The Legacy
14764,Project A II
14785,Ninja
14803,Mega Shark vs Giant Octopus
14807,"Rudolph, the Red-Nosed Reindeer"
14815,Undisputed II: Last Man Standing
14845,Female Yakuza Tale
14923,The Girl Who Played with Fire
14925,Percy Jackson & the Olympians: The Lightning Thief
14928,Trailer Park Boys: Countdown to Liquor Day
14953,The Yes Men Fix the World
14959,Tooth Fairy
14968,[REC]²
14969,Cabin Fever 2: Spring Fever
14976,Alice in Wonderland
15006,Joy Ride 2: Dead Ahead
15019,Survival of the Dead
15030,Women in Trouble
15038,Deadly Prey
15040,Mondo Cane
15061,Hot Tub Time Machine
15068,How to Train Your Dragon
15075,Universal Soldier: Regeneration
15077,The Pearl of Death
15090,Clash of the Titans
15101,Kick-Ass
15176,Diary of a Wimpy Kid
15193,Normal Adolescent Behavior
15219,The Human Centipede (First Sequence)
15224,Ben
15231,King of the Zombies
15240,Iron Man 2
15272,A Nightmare on Elm Street
15335,Puppet Master vs Demonic Toys
15368,Sex and the City 2
15398,The Descent: Part 2
15435,Toy Story 3
15459,Shrek Forever After
15466,Rampage
15476,The Moment After 2: The Awakening
15490,Best Worst Movie
15495,The Twilight Saga: Eclipse
15550,Predators
15559,Despicable Me
15568,Grown Ups
15573,Creepshow 3
15631,Nanny McPhee and the Big Bang
15658,Ip Man 2
15675,She-Wolf of London
15695,The Expendables
15740,Piranha 3D
15771,TEKKEN
15783,The Last Exorcism
15814,Gasland
15825,Machete
15826,Step Up 3D
15864,Vampires Suck
15869,Resident Evil: Afterlife
15894,Superman/Batman: Apocalypse
15922,Wall Street: Money Never Sleeps
15928,Cats & Dogs 2 : The Revenge of Kitty Galore
16003,Monsters
16040,Lost Boys: The Thirst
16065,Jackass 3D
16066,Restrepo
16070,30 Days of Night: Dark Days
16082,RED
16124,Paranormal Activity 2
16144,Undisputed III : Redemption
16146,Saw: The Final Chapter
16168,A Turtle's Tale: Sammy's Adventures
16175,1990: The Bronx Warriors
16221,Harry Potter and the Deathly Hallows: Part 1
16223,Tangled
16231,The Lost Skeleton Returns Again
16268,Cocaine Cowboys II: Hustlin' with the Godmother
16306,The Chronicles of Narnia: The Voyage of the Dawn Treader
16312,It Lives Again
16321,Rare Exports: A Christmas Tale
16355,Hatchet II
16366,Saving Shiloh
16375,TRON: Legacy
16377,It's Alive III: Island of the Alive
16416,Demonic Toys
16442,Little Fockers
16454,Klown
16464,Tere Bin Laden
16470,Topper Takes a Trip
16497,Embodiment of Evil
16640,The Trip
16680,Evangelion: 2.0 You Can (Not) Advance
16681,I Spit on Your Grave
16700,Zeitgeist: Moving Forward
16702,Look What's Happened to Rosemary's Baby
16770,Mirrors 2
16818,Brother 2
16845,Lapland Odyssey
16856,The Mechanic
16893,Scooby-Doo! The Mystery Begins
16899,Fubar II
16901,Scooby-Doo! Curse of the Lake Monster
16915,Elite Squad: The Enemy Within
16932,"Big Mommas: Like Father, Like Son"
16955,The Kings of Mykonos
16985,Death Note: The Last Name
16987,Insidious
16994,L: Change the World
17009,Dead Space: Downfall
17014,Diary of a Wimpy Kid: Rodrick Rules
17055,New Kids Turbo
17062,Daffy Duck's Quackbusters
17065,Scream 4
17066,Rio
17076,Thor
17082,Atlas Shrugged Part I
17108,"Silent Night, Deadly Night III: Better Watch Out!"
17154,Fast Five
17215,Eye of the Dolphin
17223,Mothra
17226,Pirates of the Caribbean: On Stranger Tides
17238,The Hangover Part II
17248,Loose Change 9/11: An American Coup
17254,Destroy All Monsters
17295,Open Season 3
17301,Turbulence 2: Fear of Flying
17315,Kung Fu Panda 2
17319,X-Men: First Class
17378,"Ghidorah, the Three-Headed Monster"
17381,Elektra Luxx
17390,Why Did I Get Married Too?
17398,Transformers: Dark of the Moon
17427,The Bishop Murder Case
17462,Horrible Bosses
17465,Cars 2
17499,I Am Curious (Blue)
17519,Bikini Summer
17522,Double Dhamaal
17540,Harry Potter and the Deathly Hallows: Part 2
17547,Captain America: The First Avenger
17569,Quarantine 2: Terminal
17580,"Think Fast, Mr. Moto"
17582,Beverly Hills Chihuahua 2
17601,The Smurfs
17625,Alpha and Omega
17628,Bikini Summer II
17647,FRED: The Movie
17682,Death Race 2
17688,West Is West
17691,Rise of the Planet of the Apes
17728,Final Destination 5
17731,A Very Harold & Kumar Christmas
17736,Mysterious Mr. Moto
17755,Fright Night
17764,Cold Prey
17766,Stake Land
17781,The Messengers 2: The Scarecrow
17811,Birdemic: Shock and Terror
17816,Page Eight
17817,The Inbetweeners Movie
17866,"Fat, Sick & Nearly Dead"
17897,Ironclad
17921,The Avengers
18067,The Thing
18080,Behind Enemy Lines II: Axis of Evil
18099,Paranormal Activity 3
18108,Blondie Knows Best
18109,Johnny English Reborn
18152,The Gold of Naples
18250,The Muppets
18252,The Twilight Saga: Breaking Dawn - Part 1
18294,Another Cinderella Story
18304,Xtro
18320,Happy Feet Two
18341,The Expendables 2
18343,Sharktopus
18346,The Hunger Games
18354,The Dark Knight Rises
18357,The Bourne Legacy
18360,Sherlock Holmes: A Game of Shadows
18374,Macon County Line
18391,Mission: Impossible - Ghost Protocol
18399,Alvin and the Chipmunks: Chipwrecked
18441,Born To Race
18458,Dolphin Tale
18479,Cat Run
18483,Underworld: Awakening
18505,The Human Centipede 2 (Full Sequence)
18550,Hostel: Part III
18585,Six Degrees of Celebration
18592,Grave Encounters
18593,Detective Dee and the Mystery of the Phantom Flame
18601,The Woman in Black
18655,Journey 2: The Mysterious Island
18686,Smokin' Aces 2: Assassins' Ball
18706,The Dead
18709,Ghost Rider: Spirit of Vengeance
18741,Mega Shark vs. Crocosaurus
18742,Wrong Turn 4: Bloody Beginnings
18761,Dr. Goldfoot and the Girl Bombs
18803,Goon
18823,21 Jump Street
18879,Wrath of the Titans
18889,Iron Sky
18893,American Reunion
18895,The Raid
18908,"Wild, Wild Planet"
18941,The Best Exotic Marigold Hotel
18958,The Chance of a Lifetime
18994,Think Like a Man
19019,Feast III: The Happy Finish
19025,The Scorpion King: Rise of a Warrior
19026,Big Boys Gone Bananas!*
19055,Boys Love
19072,Men in Black 3
19073,Snow White and the Huntsman
19081,Night of the Demons
19095,Prometheus
19096,The Pact
19151,Madagascar 3: Europe's Most Wanted
19163,Superman/Batman: Public Enemies
19164,Dead Space: Aftermath
19170,Dragon Ball Z: The World's Strongest
19209,Ted
19212,Magic Mike
19229,The Amazing Spider-Man
19237,Wrong Turn 3: Left for Dead
19239,Ice Age: Continental Drift
19297,Dragon Ball Z: Broly - Second Coming
19304,Anaconda 3: Offspring
19334,Vampire Journals
19336,La Classe Américaine
19340,In the Name of the King 2: Two Worlds
19346,Dick Tracy vs. Cueball
19359,The Little Mermaid: Ariel's Beginning
19361,Skyfall
19408,Diary of a Wimpy Kid: Dog Days
19441,Piranha 3DD
19474,Paradise Lost 3: Purgatory
19483,Pitch Perfect
19498,Deathstalker
19517,Resident Evil: Retribution
19546,ChromeSkull: Laid to Rest 2
19556,V/H/S
19572,Taken 2
19643,Urbanized
19660,Sinister
19668,Hotel Transylvania
19679,Charlie Chan in London
19683,We Are From The Future
19693,Atlas Shrugged Part II
19696,"Ator, the Fighting Eagle"
19704,Marley & Me: The Puppy Years
19713,Hoodwinked Too! Hood VS. Evil
19734,[REC]³ Genesis
19736,Gangs of Wasseypur
19752,Paranormal Activity 4
19756,Tai Chi Zero
19766,Alex Cross
19780,Silent Hill: Revelation 3D
19825,Wreck-It Ralph
19833,The Saint In London
19836,The Man with the Iron Fists
19852,Single White Female 2: The Psycho
19886,The Scorpion King 3: Battle for Redemption
19887,Wishmaster 2: Evil Never Dies
19889,"Batman: The Dark Knight Returns, Part 1"
19911,The Twilight Saga: Breaking Dawn - Part 2
19959,Step Up Revolution
20016,Bad Ass
20018,A Christmas Story 2
20051,My Lucky Stars
20052,"Twinkle, Twinkle, Lucky Stars"
20073,The Hobbit: An Unexpected Journey
20138,"Count Yorga, Vampire"
20152,Jack Reacher
20157,Willard
20161,Cirque du Soleil: Worlds Away
20176,Silent Night
20199,976-Evil II
20200,Xtro 2: The Second Encounter
20201,Xtro 3: Watch the Skies
20234,The Collection
20252,Rurouni Kenshin
20267,Confessions of a Window Cleaner
20273,Confessions of a Pop Performer
20303,Texas Chainsaw 3D
20307,Dabangg 2
20323,A Haunted House
20332,"Batman: The Dark Knight Returns, Part 2"
20335,Pokémon the Movie Black: Victini and Reshiram
20336,Pokémon the Movie White: Victini and Zekrom
20369,Outpost: Black Sun
20386,Up In Smoke
20415,Night of the Demons 2
20417,Death Race: Inferno
20438,Angelique
